"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
hd_occupation,d_neuro_huntingtons_disease,,radio,Occupation,"unable, 0 = unable | marginalWorkOnly, 1 = marginal work only | reducedCapacityForUsualJob, 2 = reduced capacity for usual job | normal, 3 = normal",,,,,,,y,,,,,
hd_finances,d_neuro_huntingtons_disease,,radio,Finances:,"unable, 0 = unable | majorAssistance, 1 = major assistance | slightAssistance, 2 = slight assistance | normal, 3 = normal",,,,,,,y,,,,,
hd_domestic_chores,d_neuro_huntingtons_disease,,radio,"Domestic chores:","unable, 0 = unable | impaired, 1 = impaired | normal, 2 = normal",,,,,,,y,,,,,
hd_activities_of_daily_living,d_neuro_huntingtons_disease,,radio,"Activities of daily living:","totalCare, 0 = total care | grossTasksOnly, 1 = gross tasks only | minimalImpairment, 2 = minimal impairment | normal, 3 = normal",,,,,,,y,,,,,
hd_care_level,d_neuro_huntingtons_disease,,radio,"Care level:","fullTimeSkilledNursing, 0 = full time skilled nursing | homeOrChronicCare, 1 = home or chronic care | home, 2 = home",,,,,,,y,,,,,
hd_total,d_neuro_huntingtons_disease,,calc,Total:,"sum( if( [hd_occupation]=""unable"", 0, 
     if( [hd_occupation]=""marginalWorkOnly"", 1,
     if( [hd_occupation]=""reducedCapacityForUsualJob"", 2,
     if( [hd_occupation]=""normal"", 3, 0)))),
     if( [hd_finances]= ""unable"", 0,
     if( [hd_finances]= ""majorAssistance"", 1,
     if( [hd_finances]= ""slightAssistance"", 2,
     if( [hd_finances]= ""normal"", 3, 0)))),
     if( [hd_domestic_chores]=""unable"", 0,
     if( [hd_domestic_chores]=""impaired"", 1,
     if( [hd_domestic_chores]=""normal"", 2, 0))),
     if( [hd_activities_of_daily_living]=""totalCare"", 0,
     if( [hd_activities_of_daily_living]=""grossTasksOnly"", 1,
     if( [hd_activities_of_daily_living]=""minimalImpairment"", 2,
     if( [hd_activities_of_daily_living]=""normal"", 3, 0)))), 
     if( [hd_care_level]=""fullTimeSkilledNursing"", 0,
     if( [hd_care_level]=""homeOrChronicCare"", 1,
     if( [hd_care_level]=""home"", 2, 0))))",,,,,,,,,,,,
hd_any_treatment,d_neuro_huntingtons_disease,"4. Treatment obtained",radio,"Has the participant undergone any treatment for Huntington's disease?","yes, Yes | no, No | notCertain, Not certain",,,,,,,y,,,,,
hd_type_of_treatment,d_neuro_huntingtons_disease,,checkbox,"Please select the type of treatment:","medications, Medications | slp_therapy, Prior or current SLP therapy",,,,,,"[hd_any_treatment]=""yes""",,,,,,
hd_medications_selection,d_neuro_huntingtons_disease,,checkbox,"Please select all that apply and provide further details if available","neuroleptic, Neuroleptic | vmat2_inhibitor, VMAT2 inhibitor | antidepressant, Antidepressant | benzodiazepine, Benzodiazepine",,,,,,"[hd_type_of_treatment(medications)]=""1""",,,,,,
hd_neuroleptic_specify,d_neuro_huntingtons_disease,,text,"Neuroleptic selected. Please specify",,,,,,,"[hd_medications_selection(neuroleptic)]=""1""",y,,,,,
hd_vmat2_inhibitor_specify,d_neuro_huntingtons_disease,,text,"VMAT2 inhibitor selected. Please specify",,,,,,,"[hd_medications_selection(vmat2_inhibitor)]=""1""",y,,,,,
hd_antidepressant_specify,d_neuro_huntingtons_disease,,text,"Antidepressant selected. Please specify",,,,,,,"[hd_medications_selection(antidepressant)]=""1""",y,,,,,
hd_slp_therapy_selection,d_neuro_huntingtons_disease,,checkbox,"Prior or current SLP therapy selected. Please select all that apply:","prior, Prior | current, Current",,,,,,"[hd_type_of_treatment(slp_therapy)]=""1""",,,,,,
hd_confirmed_by_genetic_testing,d_neuro_huntingtons_disease,"Deprecated Fields",radio,"[DEPRECATED]
Does the participant have Huntington's disease (HD) confirmed by genetic testing? ","yes, Yes | no, No | notCertain, Not certain",,,,,,,,,,,," @HIDDEN"
hd_confirmed_by_consistent_clinical_presentation,d_neuro_huntingtons_disease,,radio,"[DEPRECATED]
Does the participant have Huntington's disease confirmed by consistent clinical presentation with genetically
confirmed family history?","yes, Yes | no, No | notCertain, Not certain",,,,,,"[hd_confirmed_by_genetic_testing]='no' || [hd_confirmed_by_genetic_testing]='notCertain'",,,,,," @HIDDEN"
session_id,session,,text,"Session ID",,,,,,,,y,,,,," @READONLY"
session_record_id,session,,text,"Record ID",,,,,,,,y,,,,," @READONLY"
session_status,session,,radio,"Session Status","1, In Progress | 2, Completed",,,,,,,y,,,,,
session_started_at,session,,text,"Session Started At",,,,,,y,,,,,,," @READONLY"
session_is_control_participant,session,,radio,"Is Control Participant?","yes, Yes | no, No",,,,,,,y,,,,,
session_completed_at,session,,text,"Session Completed At",,,,,,y,,,,,,," @READONLY"
session_duration,session,,text,"Session Duration (seconds)",,,number,0,,,,,,,,," @READONLY"
session_site,session,,radio,"Session Site?","mit, MIT | mt_sinai, Mt. Sinai | sickkids, SickKids | usf, USF | vumc, VUMC | wcm, WCM",,,,,,,y,,,,,
session_completed_by,session,,checkbox,"Who helped you answer the questions today? For example, did someone help you remember your medication list or how tired you are? This isn't the person who helps you understand the question, but the one who helps you provide the answers","just_me, Just me | someone_else, Someone else helped me answer the questions",,,,,,,,,,,," @READONLY"
session_assigned_tasks,session,,text,"Session Assigned Tasks",,,,,,,,,,,,," @READONLY"
session_language,session,,radio,"Session - Language","1, English | 3, Spanish",,,,,,,y,,,,," @READONLY"
acoustic_task_id,acoustic_task,,text,"Acoustic Task ID",,,,,,,,y,,,,," @READONLY"
acoustic_task_session_id,acoustic_task,,text,"Session ID",,,,,,,,y,,,,," @READONLY"
acoustic_task_name,acoustic_task,,text,"Acoustic Task Name",,,,,,,,y,,,,," @READONLY"
acoustic_task_cohort,acoustic_task,,text,"Acoustic Task Cohort",,,,,,,,y,,,,," @READONLY"
acoustic_task_status,acoustic_task,,radio,"Acoustic Task Status","1, Skipped | 2, Completed",,,,,,,,,,,," @READONLY"
acoustic_task_started_at,acoustic_task,,text,"Acoustic Task Started At",,,,,,y,,,,,,," @READONLY"
acoustic_task_completed_at,acoustic_task,,text,"Acoustic Task Completed At",,,,,,y,,,,,,," @READONLY"
acoustic_task_duration,acoustic_task,,text,"Acoustic Task Duration (seconds)",,,number,0,,,,,,,,," @READONLY"
acoustic_task_origin,acoustic_task,,radio,"Acoustic Task - origin","app, Bridge2AI App | website, Bridge2AI Web App | reproschema, Bridge2AI Reproschema",,,,,,,y,,,,," @READONLY"
acoustic_task_via,acoustic_task,,radio,"Acoustic Task - via","dataCollector, Data Collector | participant, Participant",,,,,,,y,,,,," @READONLY"
acoustic_task_language,acoustic_task,,radio,"Acoustic Task - Language","1, English | 3, Spanish",,,,,,,y,,,,," @READONLY"
recording_id,recording,,text,"Recording ID",,,,,,,,y,,,,," @READONLY"
recording_acoustic_task_id,recording,,text,"Acoustic Task ID",,,,,,,,y,,,,," @READONLY"
recording_session_id,recording,,text,"Session ID",,,,,,,,y,,,,," @READONLY"
recording_name,recording,,text,"Recording Name",,,,,,,,y,,,,," @READONLY"
recording_filepath,recording,,text,"Recording Filepath",,,,,,y,,y,,,,," @READONLY"
recording_storage_account,recording,,text,"Storage Account",,,,,,y,,y,,,,," @READONLY"
recording_file_share,recording,,text,"File Share",,,,,,y,,y,,,,," @READONLY"
recording_duration,recording,,text,"Duration (Seconds)",,,,,,,,y,,,,," @READONLY"
recording_size,recording,,text,"Recording Size (KiB)",,,,,,,,y,,,,," @READONLY"
recording_created_at,recording,,text,"File Created At",,,,,,y,,,,,,," @READONLY"
recording_profile_name,recording,,radio,"Recording Profile Name","speech, Speech | breathe, Breathe | cough, Cough",,,,,,,y,,,,," @READONLY"
recording_profile_version,recording,,radio,"Recording Profile Version","1, v1.0.0",,,,,,,y,,,,," @READONLY"
recording_input_gain,recording,,text,"Recording Input Gain",,,,,,,,y,,,,," @READONLY"
recording_microphone,recording,,text,"Recording Microphone",,,,,,,,y,,,,," @READONLY"
recording_origin,recording,,radio,"Recording - origin","app, Bridge2AI App | website, Bridge2AI Web App | reproschema, Bridge2AI Reproschema",,,,,,,y,,,,," @READONLY"
recording_via,recording,,radio,"Recording - via","dataCollector, Data Collector | participant, Participant",,,,,,,y,,,,," @READONLY"
recording_language,recording,,radio,"Recording - Language","1, English | 3, Spanish",,,,,,,y,,,,," @READONLY"
recording_platform,recording,"Device Metadata",text,"Recording - Platform",,,,,,,,y,,,,," @READONLY"
recording_platform_version,recording,,text,"Recording - Platform Version",,,,,,,,y,,,,," @READONLY"
recording_platform_architecture,recording,,text,"Recording - Platform Architecture",,,,,,,,y,,,,," @READONLY"
recording_browser,recording,,text,"Recording - Browser",,,,,,,,y,,,,," @READONLY"
recording_browser_version,recording,,text,"Recording - Browser Version",,,,,,,,y,,,,," @READONLY"
recording_screen_resolution,recording,,text,"Recording - Screen Resolution",,,,,,,,y,,,,," @READONLY"
recording_window_resolution,recording,,text,"Recording - Window Resolution",,,,,,,,y,,,,," @READONLY"
recording_device_info,recording,,text,"Recording - Device Info",,,,,,,,y,,,,," @READONLY"
recording_device_type,recording,,text,"Recording - Device Type",,,,,,,,y,,,,," @READONLY"
recording_touch_screen,recording,,radio,"Recording - Touch Screen","yes, Yes | no, No | notCertain, Not certain",,,,,,,y,,,,," @READONLY"
demographics_session_id,q_generic_demographics,"Questionnaire - Metadata",text,"Session ID",,,,,,,,y,,,,," @READONLY"
demographics_started_at,q_generic_demographics,,text,"Questionnaire Started At",,,,,,y,,,,,,," @READONLY"
demographics_completed_at,q_generic_demographics,,text,"Questionnaire Completed At",,,,,,y,,,,,,," @READONLY"
demographics_duration,q_generic_demographics,,text,"Questionnaire Duration (seconds)",,,number,0,,,,,,,,," @READONLY"
demographics_origin,q_generic_demographics,,radio,"Demographics - origin","app, Bridge2AI App | website, Bridge2AI Web App",,,,,,,y,,,,," @READONLY"
demographics_via,q_generic_demographics,,radio,"Demographics - via","dataCollector, Data Collector | participant, Participant",,,,,,,y,,,,," @READONLY"
demographics_language,q_generic_demographics,,radio,"Demographics - Language","1, English | 3, Spanish",,,,,,,y,,,,," @READONLY"
zipcode,q_generic_demographics,"Address Information",text,Zipcode,,"5 Digit for USA and 3 Digit for Canada",,,,y,,,,,,,
country,q_generic_demographics,,dropdown,Country,"1, USA | 2, Canada",,,,,,,y,,,,,
gender_identity,q_generic_demographics,"Patient Demographics",radio,"What is your gender identity?","female, Female gender identity | male, Male gender identity | nonBinary, Non-binary or genderqueer gender identity | other, Other | noAnswer, Prefer not to answer",,,,,,,y,,,,,
other_gender_identity,q_generic_demographics,,text,"If you selected ""other"" for gender identity, please specify:",,,,,,,[gender_identity]='other',,,,,,
specify_gender_identity,q_generic_demographics,,radio,"Please specify gender identity","cis, Cis: same gender as the sex assigned at birth | trans, Trans",,,,,,"[gender_identity]=""female"" or [gender_identity]=""male""",,,,,,
sex_assigned_at_birth,q_generic_demographics,,radio,"What was your sex assigned at birth?","female, Female | male, Male | intersex, Intersex | unknown, Unknown | noAnswer, Prefer not to answer",,,,,,,y,,,,,
sexual_orientation,q_generic_demographics,,radio,"What is your sexual orientation?","bisexual, Bisexual | heterosexual, Heterosexual (straight) | homosexual, Homosexual (e.g. gay, lesbian) | other, Other (Please specify) | noAnswer, Prefer not to answer",,,,,,,y,,,,,
other_sex_orientation,q_generic_demographics,,text,"If you selected ""other"" for sexual orientation, please specify:",,,,,,,[sexual_orientation]='other',,,,,,
race,q_generic_demographics,,checkbox,"Which race category best describes you? Choose all that apply","1, American Indian or Alaska Native | 2, Asian | 3, Black or African American | 4, Native Hawaiian or other Pacific Islander | 5, White | 6, Canadian Indigenous or Aboriginal | 7, Other | 8, Prefer not to answer",,,,,,,,,,,,
native_american_race,q_generic_demographics,,checkbox,"American Indian or Alaska Native","1004_1, American Indian | 1735_0, Alaska Native",,,,,,"[race(1)] = ""1""",,,,,,
asian_race,q_generic_demographics,,checkbox,Asian,"2029_7, Asian Indian | 2030_5, Bangladeshi | 2031_3, Bhutanese | 2032_1, Burmese | 2033_9, Cambodian | 2034_7, Chinese | 2035_4, Taiwanese | 2036_2, Filipino | 2037_0, Hmong | 2038_8, Indonesian | 2039_6, Japanese | 2040_4, Korean | 2041_2, Laotian | 2042_0, Malaysian | 2043_8, Okinawan | 2044_6, Pakistani | 2045_3, Sri Lankan | 2046_1, Thai | 2047_9, Vietnamese | 2048_7, Iwo Jiman | 2049_5, Maldivian | 2050_3, Nepalese | 2051_1, Singaporean | 2052_9, Madagascar",,,,,,"[race(2)]=""1""",,,,,,
black_race,q_generic_demographics,,checkbox,"Black or African American","2056_0, Black | 2058_6, African American | 2060_2, African | 2067_7, Bahamian | 2068_5, Barbadian | 2069_3, Dominican | 2070_1, Dominica Islander | 2071_9, Haitian | 2072_7, Jamaican | 2073_5, Tobagoan | 2074_3, Trinidadian | 2075_0, West Indian",,,,,,"[race(3)]=""1""",,,,,,
pacific_islander_race,q_generic_demographics,,checkbox,"Native Hawaiian or other Pacific Islander","2078_4, Polynesian | 2085_9, Micronesian | 2100_6, Melanesian | 2500_7, Other Pacific Islander",,,,,,"[race(4)]=""1""",,,,,,
white_race,q_generic_demographics,,checkbox,White,"2108_9, European | 2118_8, Middle Eastern Or North African | 2129_5, Arab",,,,,,"[race(5)]=""1""",,,,,,
canadian_race,q_generic_demographics,,checkbox,"Canadian Indigenous or Aboriginal","ca_first_nation, First Nation | ca_inuit, Inuk/inuit | ca_metis, Metis",,,,,,"[race(6)]=""1""",,,,,,
other_race_specify,q_generic_demographics,,text,"If race not listed above, please specify:",,,,,,,"[race(7)] = ""1""",,,,,,
ethnicity,q_generic_demographics,,radio,"What is your ethnic or cultural origin?","yes, Hispanic or Latino | no, Not Hispanic or Latino | noAnswer, Prefer not to answer",,,,,,,,,,,,
hispanic_latino_selection,q_generic_demographics,,checkbox,"Check all that apply

NOTE: Once the options completed map to new options, the following options [Deprecated in Protocol v4]
2, Mexican
5, Latin American
6, Puerto Rican
7, Cuban
8, Dominican","1, Spaniard | 2, Mexican | 3, Central American | 4, South American | 5, Latin American | 6, Puerto Rican | 7, Cuban | 8, Dominican | 9, Caribbean",,,,,,"[ethnicity] = ""yes""",,,,,,
edu_level,q_generic_demographics,Education,radio,"What is your highest level of education?","1, No formal education | 2, Some elementary school | 3, Some secondary or high school education | 4, High School or secondary school degree complete | 5, Some college education | 6, Associate's or technical degree complete | 7, College or baccalaureate degree complete | 8, Some post-baccalaureate education | 9, Graduate or professional degree complete | 10, Doctoral or post graduate education | 11, Other | 12, Prefer not to answer",,,,,y,,y,,,,,
other_edu_level,q_generic_demographics,,text,"If you selected ""other"" level of education, please specify:",,,,,,,"[edu_level]=""11""",,,,,,
employ_status,q_generic_demographics,"Employment Status",checkbox,"What is your employment status? Choose all that apply","1, Employed, freelance | 2, Employed, full time | 3, Employed, part time | 4, Employed, multiple part time jobs | 5, Student | 6, Self-employed | 7, Retired | 8, Unemployed | 9, Other | 10, Stay-at-home parent or guardian | 11, Caregiver | 12, Disabled | 13, Between jobs",,,,,,,y,,,,,
other_employ_specify,q_generic_demographics,,notes,"If you selected ""other"" employment status, please specify.",,,,,,,"[employ_status(9)] = ""1""",,,,,,
hearing,q_generic_demographics,,radio,"Are you deaf or do you have serious difficulty hearing?","no, No | yes, Yes | noAnswer, Prefer not to answer",,,,,,,,,,,,
vision,q_generic_demographics,,radio,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?","no, No | yes, Yes | noAnswer, Prefer not to answer",,,,,,,,,,,,
cognition,q_generic_demographics,,radio,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?","no, No | yes, Yes | noAnswer, Prefer not to answer",,,,,,,,,,,,
mobility,q_generic_demographics,,radio,"Do you have serious difficulty walking or climbing stairs?","no, No | yes, Yes | noAnswer, Prefer not to answer",,,,,,,,,,,,
self_care,q_generic_demographics,,radio,"Do you have difficulty dressing or bathing?","no, No | yes, Yes | noAnswer, Prefer not to answer",,,,,,,,,,,,
independent_living,q_generic_demographics,,radio,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping?","no, No | yes, Yes | noAnswer, Prefer not to answer",,,,,,,,,,,,
colorblind,q_generic_demographics,,radio,"Are you colorblind?","yes, Yes | no, No | notCertain, Not certain",,,,,,,y,,,,,
tone_deaf,q_generic_demographics,,radio,"Are you tone deaf?","yes, Yes | no, No | notCertain, Not certain",,,,,,,y,,,,,
occupation,q_generic_demographics,,text,"What do you consider to be or have been your primary occupation?",,,,,,,,,,,,,
veteran,q_generic_demographics,,yesno,"Are you a veteran?",,,,,,,,y,,,,,
household_income_usa,q_generic_demographics,"Demographics - Optional",radio,"What was your total household income last year (USD)? Please include all sources of income, including pensions, dividends, alimony, child support, etc.","1, < $15,000 | 2, $15,000 to $29,999 | 3, $30,000 to $$49,999 | 4, $50,000 to $99,999 | 5, $100,000 to $149,999 | 6, $150,000 to $199,999 | 7, $200,000 to $249,999 | 8, >$250,000 | 9, Prefer not to answer",,,,,,"[country] =""1""",,,,,,
financial_assistance_usa,q_generic_demographics,,radio,"Do you receive a significant portion (>20%) of your income through any of the following federally-funded income assistance programs: SNAP, WIC, or Social Security?
","no, No | yes, Yes | noAnswer, Prefer not to answer",,,,,,"[country] =""1""",,,,,,
household_income_ca,q_generic_demographics,,radio,"What was your total household income last year (CAD)? Please include all sources of income, including pensions, dividends, alimony, child support, etc.","1, < $15,000 | 2, $15,000 to $29,999 | 3, $30,000 to $$49,999 | 4, $50,000 to $99,999 | 5, $100,000 to $149,999 | 6, $150,000 to $199,999 | 7, $200,000 to $249,999 | 8, >$250,000 | 9, Prefer not to answer",,,,,,"[country]=""2""",,,,,,
financial_assistance_ca,q_generic_demographics,,radio,"Do you receive a significant portion (>20%) of your income through the following federally-funded income assistance program(s): Veteran Disability Pension, Employment Insurance Sickness Benefits, or Canada Pension Plan Disability Benefits","no, No | yes, Yes | noAnswer, Prefer not to answer",,,,,,"[country]=""2""",,,,,,
marital_status,q_generic_demographics,,checkbox,"What is your marital status? Choose all that apply","1, Single | 2, Married | 3, In a relationship | 4, Not married | 5, Separated | 6, Divorced | 7, Widowed",,,,,,,,,,,,
housing_status,q_generic_demographics,,radio,"What is your current housing status?","1, Assisted living | 3, Own home | 4, Rent home | 5, Skilled nursing facility/nursing home | 6, Unhoused-temporarily | 7, Unhoused-permanently | 8, Long-term care facility | 9, Retirement community | 10, Live with family",,,,,,,,,,,,
live_by_yourself,q_generic_demographics,,radio,"Do you live by yourself?","yes, Yes | no, No | noAnswer, Prefer not to answer",,,,,,,,,,,,
household_count,q_generic_demographics,,text,"How many people live with you?",,,number,,,,"[live_by_yourself]=""no""",,,,,,
spouse_partner_sig_other,q_generic_demographics,"Who lives with you? Choose all that apply",radio,"Spouse/partner/significant other","1, Yes | 0, No",,,,,,[household_count]>0,,,,live_with_household,,
children,q_generic_demographics,,radio,"One or more children","1, Yes | 0, No",,,,,,[household_count]>0,,,,live_with_household,,
parent,q_generic_demographics,,radio,"One or more parent","1, Yes | 0, No",,,,,,[household_count]>0,,,,live_with_household,,
grandparent,q_generic_demographics,,radio,"One or more grandparent","1, Yes | 0, No",,,,,,[household_count]>0,,,,live_with_household,,
roommate,q_generic_demographics,,radio,Roommate(s),"1, Yes | 0, No",,,,,,[household_count]>0,,,,live_with_household,,
other_live_with,q_generic_demographics,,radio,Other,"1, Yes | 0, No",,,,,,[household_count]>0,,,,live_with_household,,
others_household_specify,q_generic_demographics,,text,"If ""others"" live in your household, please specify:",,,,,,,"[other_live_with]=""1""",,,,,,
transportation,q_generic_demographics,,radio,"Do you have a reliable mode of transportation?","yes, Yes | no, No | noAnswer, Prefer not to answer",,,,,,,,,,,,
primary_transportation,q_generic_demographics,,radio,"What is your primary mode of transportation?","1, Personal vehicle | 2, Shared vehicle | 3, Public transportation | 4, Ride with someone else | 5, Ride service | 6, Bicycle/Motorbike | 7, Walking | 8, Other (Please specify)",,,,,,"[transportation]=""yes""",,,,,,
other_transportation,q_generic_demographics,,text,"If you selected ""other"" transportation, please specify.",,,,,,,"[primary_transportation]=""8""",,,,,,
demographics_completed_by,q_generic_demographics,"Deprecated Fields",checkbox,"[DEPRECATED]
Who is completing this survey?","1, Self | 2, Assistant | 3, Parent/Caregiver",,,,,,,,,,,,
city,q_generic_demographics,,text,"[DEPRECATED]
City ",,,,,,y,,,,,,,
state_province,q_generic_demographics,,text,"[DEPRECATED]
State/Province",,,,,,,,,,,,,
assistance_programs_usa,q_generic_demographics,,checkbox,"[DEPRECATED]
Do you take advantage of any of the following programs? Choose all that apply","1, Supplemental Security Income (SSI) | 2, Supplemental Nutrition Assistance Program (SNAP) | 3, Special Supplemental Nutrition Program for Women, Infants, and Children (WIC) | 4, Temporary Assistance for Needy Families (TANF), including Pass through Child Support | 5, General Assistance (GA)",,,,,,"[country] =""1""",,,,,,
assistance_programs_ca,q_generic_demographics,,checkbox,"[DEPRECATED]
Do you take advantage of any of the following programs? Choose all that apply","1, Supplemental Security Income (SSI) | 2, Supplemental Nutrition Assistance Program (SNAP) | 3, Special Supplemental Nutrition Program for Women, Infants, and Children (WIC) | 4, Temporary Assistance for Needy Families (TANF), including Pass through Child Support | 5, General Assistance (GA)",,,,,,"[country]=""2""",,,,,," @HIDDEN"
citizen,q_generic_demographics,,radio,"[DEPRECATED]
Citizen","1, Citizen | 2, Permanent resident (Green card holder) | 3, Non-citizen US/Canadian national | 4, Refugee | 5, Asylum seeker | 6, Non-immigrant student | 7, Non-immigrant worker | 8, Prefer not to answer",,,,,,,y,,,,," @HIDDEN"
transportation_yn,q_generic_demographics,,yesno,"[DEPRECATED]
Do you have a reliable mode of transportation?",,,,,,,,,,,,," @HIDDEN"
confounders_session_id,q_generic_confounders,"Questionnaire - Metadata",text,"Session ID",,,,,,,,y,,,,," @READONLY"
confounders_started_at,q_generic_confounders,,text,"Questionnaire Started At",,,,,,y,,,,,,," @READONLY"
confounders_completed_at,q_generic_confounders,,text,"Questionnaire Completed At",,,,,,y,,,,,,," @READONLY"
confounders_duration,q_generic_confounders,,text,"Questionnaire Duration (seconds)",,,number,0,,,,,,,,," @READONLY"
confounders_origin,q_generic_confounders,,radio,"Confounders - origin","app, Bridge2AI App | website, Bridge2AI Web App",,,,,,,y,,,,," @READONLY"
confounders_via,q_generic_confounders,,radio,"Confounders - via","dataCollector, Data Collector | participant, Participant",,,,,,,y,,,,," @READONLY"
confounders_language,q_generic_confounders,,radio,"Confounders - Language","1, English | 3, Spanish",,,,,,,y,,,,," @READONLY"
tell_us_about_you_health_header,q_generic_confounders,,descriptive,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""> <div class=""rich-text-field-label""> <p>TELL US ABOUT YOUR HEALTH<span style=""font-weight: normal;""> </span><br><br><span style=""text-decoration: underline;"">MEDICAL HISTORY</span><span style=""font-weight: normal;""> </span><br><span style=""font-weight: normal;"">There are some medical conditions that could have long term effects on your voice. In the following questions you will be asked about your CURRENT conditions as well as those you may have had in the PAST. Please read each set of questions carefully.</span></p> <p style=""line-height: 107%;""><strong>NOTE: </strong><span style=""font-weight: normal;"">[All fields will be pre-populated to NO/NEVER unless the person noted the condition at enrollment. E.g. if the person enrolled with chronic cough, then ""Chronic cough"" will be pre-populated to YES/CURRENT.]</span></p> <p style=""line-height: 107%;""> </p> <p style=""line-height: 107%;""> </p> </div> </div></div>",,,,,,,,,,,,,
chronic_ear_infections,q_generic_confounders,"Have you ever been diagnosed by a doctor with any of the following conditions that affect your EARS, NOSE, or MOUTH? 

To save you time, the responses are pre-set to ""NO"". Please only change the responses that apply to you. If you have never had the condition, you can leave the response as it is.

Condition",radio,"Chronic ear infections","yes, Yes | no, No | noAnswer, Prefer Not to Answer",,,,,,,,,,ear_nose_mouth_condition,,
cleft_lip,q_generic_confounders,,radio,"Cleft lip","yes, Yes | no, No | noAnswer, Prefer Not to Answer",,,,,,,,,,ear_nose_mouth_condition,,
cleft_palate,q_generic_confounders,,radio,"Cleft palate","yes, Yes | no, No | noAnswer, Prefer Not to Answer",,,,,,,,,,ear_nose_mouth_condition,,
craniofacial_trauma,q_generic_confounders,,radio,"Craniofacial trauma","yes, Yes | no, No | noAnswer, Prefer Not to Answer",,,,,,,,,,ear_nose_mouth_condition,,
hearing_loss,q_generic_confounders,,radio,"Hearing loss","yes, Yes | no, No | noAnswer, Prefer Not to Answer",,,,,,,,,,ear_nose_mouth_condition,,
seasonal_allergies_med_hist_enm,q_generic_confounders,,radio,"Seasonal allergies","yes, Yes | no, No | noAnswer, Prefer Not to Answer",,,,,,,,,,ear_nose_mouth_condition,,
sinusitis,q_generic_confounders,,radio,"Sinusitis (rhinitis)","yes, Yes | no, No | noAnswer, Prefer Not to Answer",,,,,,,,,,ear_nose_mouth_condition,,
sjogrens_syndrome,q_generic_confounders,,radio,"Sjögren's syndrome","yes, Yes | no, No | noAnswer, Prefer Not to Answer",,,,,,,,,,ear_nose_mouth_condition,,
velopharyngeal_insufficiency,q_generic_confounders,,radio,"Velopharyngeal insufficiency (e.g. hyponasality, nasal emission, etc.)","yes, Yes | no, No | noAnswer, Prefer Not to Answer",,,,,,,,,,ear_nose_mouth_condition,,
any_dental_condition,q_generic_confounders,,radio,"Do you currently have any dental condition(s) (e.g. tooth loss, dentures, retainer, braces, etc.)?","yes, Yes | no, No | noAnswer, Prefer Not to Answer",,,,,,,,,,,,
any_dental_condition_specify,q_generic_confounders,,text,"Please specify what dental condition(s) you have.",,,,,,,[any_dental_condition]='yes',,,,,,
other_ear_nose_mouth_condition,q_generic_confounders,,radio,"Do you currently have any other condition(s) of your ear, nose, or mouth?","yes, Yes | no, No | noAnswer, Prefer Not to Answer",,,,,,,,,,,,
other_ear_nose_mouth_condition_specify,q_generic_confounders,,text,"Please specify what other condition(s) of your ear, nose, or mouth you have.",,,,,,,[other_ear_nose_mouth_condition]='yes',,,,,,
acid_reflux,q_generic_confounders,"Have you ever been diagnosed by a doctor with any of the following conditions that affect your THROAT? Please check all that apply.

To save you time, the responses are pre-set to ""NEVER"". Please only change the responses that apply to you. If you have never had the condition, you can leave the response as it is.

Condition",checkbox,"Acid reflux (e.g. heart burn, GERD, etc.)","past, Past | current, Current | never, Never | no_answer, Prefer Not To Answer",,,,,,,,,,throat_condition,,
airway_stenosis_med_hist_throat,q_generic_confounders,,checkbox,"Airway stenosis (e.g. glottal, subglottal, tracheal, etc.)","past, Past | current, Current | never, Never | no_answer, Prefer Not To Answer",,,,,,,,,,throat_condition,,
chronic_cough_med_hist_throat,q_generic_confounders,,checkbox,"Chronic cough","past, Past | current, Current | never, Never | no_answer, Prefer Not To Answer",,,,,,,,,,throat_condition,,
glottic_insufficiency_med_hist_throat,q_generic_confounders,,checkbox,"Glottic insufficiency, presbyphonia","past, Past | current, Current | never, Never | no_answer, Prefer Not To Answer",,,,,,,,,,throat_condition,,
laryngitis_med_hist_throat,q_generic_confounders,,checkbox,Laryngitis,"past, Past | current, Current | never, Never | no_answer, Prefer Not To Answer",,,,,,,,,,throat_condition,,
laryngospasm_irritable_larynx,q_generic_confounders,,checkbox,"Laryngospasm, irritable larynx","past, Past | current, Current | never, Never | no_answer, Prefer Not To Answer",,,,,,,,,,throat_condition,,
muscle_tension_dysphonia,q_generic_confounders,,checkbox,"Muscle tension dysphonia","past, Past | current, Current | never, Never | no_answer, Prefer Not To Answer",,,,,,,,,,throat_condition,,
swallowing_disorder,q_generic_confounders,,checkbox,"Swallowing disorder/dysphagia","past, Past | current, Current | never, Never | no_answer, Prefer Not To Answer",,,,,,,,,,throat_condition,,
